"Unnamed: 0.1","reaction","electrophile SMILES","nucleophile SMILES","ReactionSMILES","3,3â€™ Catalyst Substituent ","N Catalyst Substituent","catalyst SMILES","solvent","time (hours)","temperature (Celsius)","Temperature K","% yield","e.r. 1","e.r. 2","d.r.","ee","ddG","Conversion %","r.r. (regioisomeric ratio)","reference","CatalystSMILES
","Unnamed: 0","ster1","ster2","ster3","Dih","Atom1_charge","Valance_atom1","Rydberg_atom1","TotalNBO_atom1","Atom2_charge","Valance_atom2","Rydberg_atom2","TotalNBO_atom2","polarxx","polarxy","polaryy","polarzx","polaryz","polarzz","mean_polar","HOMO","LUMO","biggest distance","major_axis","Axis_2","Axis_3","Vbur35","Vbur5","Vbur75","old_name","missing","smiles_x","L_x","Bmin_x","Bmax_x","bur_shell_x","bur_vol_x","max_distance_x","tot_V_x","disp_x","max_axis_x","A2_x","min_axis_x","smiles_y","L_y","Bmin_y","Bmax_y","bur_shell_y","bur_vol_y","max_distance_y","tot_V_y","disp_y","max_axis_y","A2_y","min_axis_y","nL","nBmin","nBmax","nbur_vol","0_crippen_x","1_crippen_x","2_crippen_x","3_crippen_x","4_crippen_x","0_mcgowan_x","1_mcgowan_x","2_mcgowan_x","3_mcgowan_x","4_mcgowan_x","0_crippen_y","1_crippen_y","2_crippen_y","3_crippen_y","4_crippen_y","0_mcgowan_y","1_mcgowan_y","2_mcgowan_y","3_mcgowan_y","4_mcgowan_y"
0,"1a","O=Cc2ccc1ccccc1c2","C=CC[Si](C)(C)C","O=Cc2ccc1ccccc1c2C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",96,-78,195.15,92,96,4,,92,1.23171164911491,,,"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201607828","Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","O=Cc2ccc1ccccc1c2",8.49836473,1.7,6.76105228639698,0,25.972381199052,8.41455306524069,60.0299246955376,3.13422406352777,8.30371685283157,0.647606454537183,0.161897086961187,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.753,8.753,8.02,4.55,16.04,12.57,12.57
1,"1b","COc2ccc1cc(C=O)ccc1c2","C=CC[Si](C)(C)C","COc2ccc1cc(C=O)ccc1c2C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",192,-78,195.15,80,94,6,,88,1.06640676305151,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","COc2ccc1cc(C=O)ccc1c2",6.2477981,1.7,9.93775186776382,0,28.6715706582094,10.0878691385292,100.7889888993,9.54662438707307,9.99164199408515,0.573052667987336,0.176322589645242,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.753,8.753,8.02,4.55,16.04,12.57,12.57
2,"1c","O=Cc2ccc1cc(Br)ccc1c2","C=CC[Si](C)(C)C","O=Cc2ccc1cc(Br)ccc1c2C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",192,-78,195.15,57,93,7,,86,1.00251775704442,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","O=Cc2ccc1cc(Br)ccc1c2",8.36315257,1.7,8.39876317370029,0,26.3041767912718,9.17117207119272,55.298966258363,8.65866569986805,9.10475956585313,0.578697772677453,0.126607594394425,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.753,8.753,8.02,4.55,16.04,12.57,12.57
3,"1d","O=Cc1ccccc1","C=CC[Si](C)(C)C","O=Cc1ccccc1C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",48,-78,195.15,85,91,9,,82,0.896690630869186,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","O=Cc1ccccc1",6.32107717,1.7,5.65545344669204,0,26.2963674695943,6.06618646505046,17.0200596724427,2.72894122425786,6.06396328300444,0.744339096313202,0.102546433041322,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.814,4.407,8.02,4.55,16.04,16.04,8.02
4,"1e","O=Cc1ccccc1F","C=CC[Si](C)(C)C","O=Cc1ccccc1FC=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",48,-60,213.15,82,92,8,,84,1.03388433338965,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","O=Cc1ccccc1F",6.19429398,1.7,5.72677292892591,0,28.9598642041839,6.07005775748148,19.4937332060282,2.16766754893324,6.0151409124411,0.736633666140576,0.121592289901971,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,7.664,9.922,4.407,8.02,4.55,12.57,21.27,8.02
5,"1f","Cc1ccccc1C=O","C=CC[Si](C)(C)C","Cc1ccccc1C=OC=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",48,-70,203.15,96,87,13,,74,0.766953027860026,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","Cc1ccccc1C=O",6.41675975,1.7807234954791,5.05858525574383,0,35.3399419621473,6.05410547836458,63.0999026409043,6.06153596146368,5.61758799714027,0.954533703599243,0.372896038072027,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,7.916,14.449,4.407,8.02,4.55,12.57,27.72,8.02
6,"1g","Cc1cccc(C=O)c1","C=CC[Si](C)(C)C","Cc1cccc(C=O)c1C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",72,-78,195.15,99,90.5,9.5,,81,0.873600545730249,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","Cc1cccc(C=O)c1",6.45042663,1.82516934558458,5.10368995055512,0,31.4464449828724,6.68629576104996,81.6005093224528,6.83122253357627,6.63172332698255,0.721627160250434,0.387704463513115,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,7.916,10.042,8.02,4.55,16.04,12.57,19.7
7,"1h","Cc1ccc(C=O)cc1","C=CC[Si](C)(C)C","Cc1ccc(C=O)cc1C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",72,-78,195.15,93,95,5,,90,1.14117003183368,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","Cc1ccc(C=O)cc1",7.84210791,1.88214956965415,3.2270017201769,0,31.2296774714632,7.08191496364158,54.535895166619,2.2344012144549,6.87977728422892,0.637650605308303,0.262649472011866,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.814,3.509,8.02,4.55,16.04,16.04,4.55
8,"1i","CC(C)(C)c1ccc(C=O)cc1","C=CC[Si](C)(C)C","CC(C)(C)c1ccc(C=O)cc1C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",72,-78,195.15,81,95.5,4.5,,91,1.18403886746725,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","CC(C)(C)c1ccc(C=O)cc1",6.26802633,2.82436246031963,7.27789911742958,0,43.0757565841235,8.27165806914758,139.668840964984,3.13782544870817,8.06621109109096,0.515999681687458,0.515752504772572,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,3.509,8.814,8.814,3.509,8.02,4.55,16.04,16.04,4.55
9,"1j","O=C/C=C/c1ccccc1","C=CC[Si](C)(C)C","O=C/C=C/c1ccccc1C=CC[Si](C)(C)C","c2ccc1ccccc1c2","NS(=O)(=O)C(F)(F)F","O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F","toluene",168,-78,195.15,92,92.5,7.5,,85,0.973689014842612,,,,"Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F","2naphth_idp_1_1_m062x",8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,"c2ccc1ccccc1c2","c4ccc3c1ccccc1c2ccccc2c3c4","O=C/C=C/c1ccccc1",8.49000217,1.7,6.95857268644274,0,22.7221173602065,8.51542747617864,9.66350507865466,1.71108776364888,8.34530906363083,0.513911361864488,0.032353344662118,"C=CC[Si](C)(C)C",6.61424586,1.7,5.51201390515539,0,29.7163016377737,6.99437040537526,137.616797117082,4.17099187924499,6.24764849037444,0.763321309317026,0.73928909209161,6.61424586,1.7,5.51201390515539,29.7163016377737,5.627,0,4.807,5.754,17.592,11.49,0,8.21,11.75,35.04,6.064,4.57,5.362,3.509,8.814,8.02,8.02,8.02,4.55,16.04
